"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"OMNH 26585c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.8,1,NA,NA
"OMNH 26585d","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,1,NA,NA
"OMNH 26585e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.8,1,NA,NA
"OMNH 26585f","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 26585g","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18,1,NA,NA
"OMNH 26585h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16,1,NA,NA
"OMNH 26585i","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.9,1,NA,NA
"OMNH 26585j","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 26585k","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 27198a","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6777777777778,9,0.808977406634106,0.269659135544702
"OMNH 27954a","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.0666666666667,3,0.493288286231625,0.284800124843918
"OMNH 27954b","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9666666666667,3,0.404145188432737,0.233333333333333
"OMNH 27954c","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 27956a","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.225,4,0.0957427107756344,0.0478713553878172
"OMNH 27956b","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.25,2,0.0707106781186558,0.0500000000000007
"OMNH 27956c","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,2,0.707106781186546,0.499999999999999
"OMNH 27958a","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.825,4,0.287228132326901,0.143614066163451
"OMNH 27958b","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1333333333333,3,0.152752523165195,0.0881917103688198
"OMNH 27958c","Naomichelys sp","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.25,2,1.06066017177982,0.75
"OMNH 28265a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 28265b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"OMNH 28265c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 28265d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.7,2,0.141421356237309,0.0999999999999996
"OMNH 28268a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,3,0.3,0.173205080756888
"OMNH 28268b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 28268c","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,1,NA,NA
"OMNH 28270a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 28270b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"OMNH 28270c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 28270d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,1,NA,NA
"OMNH 28270e","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 28270f","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 28278a","Naomichelys?","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.1,1,NA,NA
"OMNH 28278b","Naomichelys?","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.9,1,NA,NA
"OMNH 28278c","Naomichelys?","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.7,1,NA,NA
"OMNH 28302a","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5375,8,0.399776723398735,0.141342416037892
"OMNH 28783b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"OMNH 28783d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"OMNH 28785a","Bernissartia sp","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",19,1,NA,NA
"OMNH 28785b","Bernissartia sp","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 28785d","Bernissartia sp","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 28785e","Bernissartia sp","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.65,2,0.212132034355965,0.15
"OMNH 28830a","Trionyclidae","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.875,4,0.788986691902975,0.394493345951487
"OMNH 28887a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,8,0.962140470884728,0.340168025708305
"OMNH 28887b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.76,5,1.41527382509534,0.632929695937867
"OMNH 28887c","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.775,4,0.694622199472491,0.347311099736245
"OMNH 28887d","Goniopholidae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.25,2,0.0707106781186558,0.0500000000000007
"OMNH 28887e","Goniopholidae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.25,2,0.494974746830584,0.35
"OMNH 29716a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 29716b","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 29716c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9,1,NA,NA
"OMNH 29716f","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,1,NA,NA
"OMNH 29716g","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 29716h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.3,1,NA,NA
"OMNH 29716i","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"OMNH 29716j","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"OMNH 29716k","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 29743a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 29743b","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",NA,1,NA,NA
"OMNH 29743c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,1,NA,NA
"OMNH 29743d","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 29743e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.7,1,NA,NA
"OMNH 29743f","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,1,NA,NA
"OMNH 29743g","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.4,1,NA,NA
"OMNH 29743h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 29952a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 29952c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.7,1,NA,NA
"OMNH 29952d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 29952e","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 29952f","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"OMNH 29953a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.9,1,NA,NA
"OMNH 29953b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16,1,NA,NA
"OMNH 29953c","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.45,2,0.353553390593274,0.25
"OMNH 29953d","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,1,NA,NA
"OMNH 29953e","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9,1,NA,NA
"OMNH 29953f","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.2,1,NA,NA
"OMNH 30054a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,2,0.282842712474618,0.199999999999999
"OMNH 30054b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18,1,NA,NA
"OMNH 30054d","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,1,NA,NA
"OMNH 30054e","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"OMNH 30054f","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.7,1,NA,NA
"OMNH 30477a","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,1,NA,NA
"OMNH 30477b","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 30477c","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 30477d","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.8,1,NA,NA
"OMNH 30477e","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.3,1,NA,NA
"OMNH 30477f","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,3,0.519615242270664,0.300000000000001
"OMNH 32073a","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,2,0.141421356237309,0.0999999999999996
"OMNH 32073b","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6666666666667,3,1.28582010146573,0.74236858171067
"OMNH 32073c","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.575,4,0.834166250416147,0.417083125208073
"OMNH 32701a","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.9,2,0.565685424949239,0.4
"OMNH 32701b","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,2,0.282842712474621,0.200000000000001
"OMNH 32701c","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.55,2,0.212132034355965,0.15
"OMNH 32782a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 32782b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",19.5,1,NA,NA
"OMNH 32782d","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.4,1,NA,NA
"OMNH 32963a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 32963b","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",13.8,1,NA,NA
"OMNH 32963d","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 32963e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 32963h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"OMNH 32963i","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,1,NA,NA
"OMNH 32963j","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.4,1,NA,NA
"OMNH 32963k","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 32963l","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16,1,NA,NA
"OMNH 32963m","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 32963n","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,1,NA,NA
"OMNH 33404a","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3444444444444,9,0.406543697255015,0.135514565751672
"OMNH 33404b","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.25,4,0.173205080756887,0.0866025403784437
"OMNH 33404c","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 33973a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6,1,NA,NA
"OMNH 33973c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.2,2,0.42426406871193,0.300000000000001
"OMNH 33973e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,1,NA,NA
"OMNH 34374a","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.4,1,NA,NA
"OMNH 34374b","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.2,1,NA,NA
"OMNH 34374c","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,1,NA,NA
"OMNH 34374d","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"OMNH 34374e","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 34374f","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.4,1,NA,NA
"OMNH 34374g","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.8,1,NA,NA
"OMNH 34374h","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.2,1,NA,NA
"OMNH 34374i","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.5,1,NA,NA
"OMNH 34374j","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.2,2,0.282842712474618,0.199999999999999
"OMNH 34571croc-2","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6,1,NA,NA
"OMNH 34571croc-3","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",13.5,1,NA,NA
"OMNH 34571croc-4","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9,1,NA,NA
"OMNH 60901a","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4142857142857,7,0.437525509460387,0.165369098611289
"OMNH 60901c","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.625,4,0.0957427107756333,0.0478713553878167
"OMNH 60901d","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.56,5,0.415932686861709,0.186010752377383
"OMNH 60901e","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,1,NA,NA
"OMNH-27852a","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.025,4,0.556027577253743,0.278013788626871
"OMNH-27852b","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.56,5,0.378153408023781,0.169115345252878
"OMNH-28036a","Naomichelys sp.","","terrestrial turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.04,10,0.656928881657334,0.207739152678438
"OMNH-28880","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.6666666666667,3,0.351188458428424,0.20275875100994
"OMNH-32104a","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.7714285714286,7,1.2539461521058,0.473947096562618
"OMNH-32104b","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6375,8,0.342000417710689,0.12091540726593
"OMNH-32104c","Hadrosauridae","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4666666666667,6,1.08012344973464,0.440958551844098
"OMNH-34824","Naomichelys","","terrestrial turtle","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",15.6,2,0.707106781186549,0.500000000000001
"OMNH-60308","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",14.7,1,NA,NA
"OMNH-60381","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",14.4,1,NA,NA
"OMNH-60449","Glyptops","","aquatic turtle","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",15,1,NA,NA
"OMNH-61405","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",15.5,1,NA,NA
"OMNH-61560a","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.0666666666667,3,0.585946527708232,0.338296385503075
"OMNH-61560b","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.45,2,0.919238815542512,0.65
"OMNH-61560c","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",19.0333333333333,3,0.802080627701065,0.463081466314994
"OMNH-62523","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",16.5,2,0.141421356237312,0.100000000000001
"OMNH-62526","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",16.3,1,NA,NA
"OMNH-63323","Trionychoidea","","aquatic turtle","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",15.65,2,1.06066017177982,0.749999999999999
"OMNH-63442","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",13.6,2,0.141421356237309,0.0999999999999996
"OMNH-63443","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",13.45,2,0.636396103067893,0.45
"OMNH-63444","Chelonia","","turtle indet.","bone","Aptian","Cloverly","Little Sheep","LSM","North America","","","",NA,"Suarez et al., 2020",11.9,1,NA,NA
"TH001","Theropoda","C","theropod","tooth enamel","Aptian–Albian","","","Khok Pha Suam","Southeast Asia","","","24.3",NA,"Amiot et al, 2006",15.5,1,NA,NA
"TH002","Crocodylia","C","croc","tooth enamel","Aptian–Albian","","","Khok Pha Suam","Southeast Asia","","","24.3",NA,"Amiot et al, 2006",14.7,1,NA,NA
